USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.1  0.0  23044 14356 ?        Ss   01:10   0:00 /sbin/init splash
root          36  0.0  0.0      0     0 ?        S    01:10   0:00 [idle_inject/6]
root          37  0.0  0.0      0     0 ?        S    01:10   0:00 [migration/6]
root          38  0.0  0.0      0     0 ?        S    01:10   0:00 [ksoftirqd/6]
root          40  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/6:0H-events_highpri]
root          41  0.0  0.0      0     0 ?        S    01:10   0:00 [cpuhp/8]
root          42  0.0  0.0      0     0 ?        S    01:10   0:00 [idle_inject/8]
root          43  0.0  0.0      0     0 ?        S    01:10   0:00 [migration/8]
root          44  0.0  0.0      0     0 ?        S    01:10   0:00 [ksoftirqd/8]
root          46  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/8:0H-events_highpri]
root          47  0.0  0.0      0     0 ?        S    01:10   0:00 [cpuhp/10]
root          48  0.0  0.0      0     0 ?        S    01:10   0:00 [idle_inject/10]
root          49  0.0  0.0      0     0 ?        S    01:10   0:00 [migration/10]
root          50  0.0  0.0      0     0 ?        S    01:10   0:00 [ksoftirqd/10]
root          52  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/10:0H-events_highpri]
root          53  0.0  0.0      0     0 ?        S    01:10   0:00 [cpuhp/12]
root          54  0.0  0.0      0     0 ?        S    01:10   0:00 [idle_inject/12]
root          55  0.0  0.0      0     0 ?        S    01:10   0:00 [migration/12]
root          56  0.0  0.0      0     0 ?        S    01:10   0:00 [ksoftirqd/12]
root          58  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/12:0H-events_highpri]
root          59  0.0  0.0      0     0 ?        S    01:10   0:00 [cpuhp/13]
root          60  0.0  0.0      0     0 ?        S    01:10   0:00 [idle_inject/13]
root          61  0.0  0.0      0     0 ?        S    01:10   0:00 [migration/13]
root          62  0.0  0.0      0     0 ?        S    01:10   0:00 [ksoftirqd/13]
root          64  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/13:0H-events_highpri]
root          65  0.0  0.0      0     0 ?        S    01:10   0:00 [cpuhp/14]
root          66  0.0  0.0      0     0 ?        S    01:10   0:00 [idle_inject/14]
root          67  0.0  0.0      0     0 ?        S    01:10   0:00 [migration/14]
root          68  0.0  0.0      0     0 ?        S    01:10   0:00 [ksoftirqd/14]
root          70  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/14:0H-events_highpri]
root          71  0.0  0.0      0     0 ?        S    01:10   0:00 [cpuhp/15]
root          72  0.0  0.0      0     0 ?        S    01:10   0:00 [idle_inject/15]
root          73  0.0  0.0      0     0 ?        S    01:10   0:00 [migration/15]
root          74  0.0  0.0      0     0 ?        S    01:10   0:00 [ksoftirqd/15]
root          76  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/15:0H-events_highpri]
root          77  0.0  0.0      0     0 ?        S    01:10   0:00 [cpuhp/1]
root          78  0.0  0.0      0     0 ?        S    01:10   0:00 [idle_inject/1]
root          79  0.0  0.0      0     0 ?        S    01:10   0:00 [migration/1]
root          80  0.0  0.0      0     0 ?        S    01:10   0:00 [ksoftirqd/1]
root          81  0.0  0.0      0     0 ?        I    01:10   0:00 [kworker/1:0-mm_percpu_wq]
root          82  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/1:0H-events_highpri]
root          83  0.0  0.0      0     0 ?        S    01:10   0:00 [cpuhp/3]
root          84  0.0  0.0      0     0 ?        S    01:10   0:00 [idle_inject/3]
root          85  0.0  0.0      0     0 ?        S    01:10   0:00 [migration/3]
root          86  0.0  0.0      0     0 ?        S    01:10   0:00 [ksoftirqd/3]
root          88  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/3:0H-events_highpri]
root          89  0.0  0.0      0     0 ?        S    01:10   0:00 [cpuhp/5]
root          90  0.0  0.0      0     0 ?        S    01:10   0:00 [idle_inject/5]
root          91  0.0  0.0      0     0 ?        S    01:10   0:00 [migration/5]
root          92  0.0  0.0      0     0 ?        S    01:10   0:00 [ksoftirqd/5]
root          93  0.0  0.0      0     0 ?        I    01:10   0:00 [kworker/5:0-events]
root          94  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/5:0H-events_highpri]
root          95  0.0  0.0      0     0 ?        S    01:10   0:00 [cpuhp/7]
root          96  0.0  0.0      0     0 ?        S    01:10   0:00 [idle_inject/7]
root          97  0.0  0.0      0     0 ?        S    01:10   0:00 [migration/7]
root          98  0.0  0.0      0     0 ?        S    01:10   0:00 [ksoftirqd/7]
root         100  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/7:0H-kblockd]
root         101  0.0  0.0      0     0 ?        S    01:10   0:00 [cpuhp/9]
root         102  0.0  0.0      0     0 ?        S    01:10   0:00 [idle_inject/9]
root         103  0.0  0.0      0     0 ?        S    01:10   0:00 [migration/9]
root         104  0.0  0.0      0     0 ?        S    01:10   0:00 [ksoftirqd/9]
root         106  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/9:0H-events_highpri]
root         107  0.0  0.0      0     0 ?        S    01:10   0:00 [cpuhp/11]
root         108  0.0  0.0      0     0 ?        S    01:10   0:00 [idle_inject/11]
root         109  0.0  0.0      0     0 ?        S    01:10   0:00 [migration/11]
root         110  0.0  0.0      0     0 ?        S    01:10   0:00 [ksoftirqd/11]
root         112  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/11:0H-events_highpri]
root         113  0.0  0.0      0     0 ?        S    01:10   0:00 [kdevtmpfs]
root         114  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/R-inet_frag_wq]
root         115  0.0  0.0      0     0 ?        I    01:10   0:00 [rcu_tasks_kthread]
root         116  0.0  0.0      0     0 ?        I    01:10   0:00 [rcu_tasks_rude_kthread]
root         117  0.0  0.0      0     0 ?        I    01:10   0:00 [rcu_tasks_trace_kthread]
root         118  0.0  0.0      0     0 ?        S    01:10   0:00 [kauditd]
root         119  0.0  0.0      0     0 ?        S    01:10   0:00 [khungtaskd]
root         120  0.0  0.0      0     0 ?        S    01:10   0:00 [oom_reaper]
root         121  0.0  0.0      0     0 ?        I    01:10   0:00 [kworker/u64:2-btrfs-endio]
root         122  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/R-writeback]
root         123  0.0  0.0      0     0 ?        S    01:10   0:00 [kcompactd0]
root         124  0.0  0.0      0     0 ?        SN   01:10   0:00 [ksmd]
root         125  0.0  0.0      0     0 ?        SN   01:10   0:00 [khugepaged]
root         126  0.0  0.0      0     0 ?        I    01:10   0:00 [kworker/12:1-cgroup_free]
root         127  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/R-kblockd]
root         128  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/R-blkcg_punt_bio]
root         129  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/R-kintegrityd]
root         130  0.0  0.0      0     0 ?        S    01:10   0:00 [irq/9-acpi]
root         131  0.0  0.0      0     0 ?        I    01:10   0:00 [kworker/13:1-cgroup_bpf_destroy]
root         132  0.0  0.0      0     0 ?        I    01:10   0:00 [kworker/1:1-cgroup_offline]
root         133  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/R-tpm_dev_wq]
root         134  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/R-ata_sff]
root         135  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/R-edac-poller]
root         136  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/R-devfreq_wq]
root         137  0.0  0.0      0     0 ?        S    01:10   0:00 [watchdogd]
root         138  0.0  0.0      0     0 ?        I    01:10   0:00 [kworker/4:1-events]
root         139  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/R-quota_events_unbound]
root         140  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/12:1H-kblockd]
root         141  0.0  0.0      0     0 ?        I    01:10   0:00 [kworker/14:1-mm_percpu_wq]
root         142  0.0  0.0      0     0 ?        S    01:10   0:00 [kswapd0]
root         143  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/R-kthrotld]
root         144  0.0  0.0      0     0 ?        S    01:10   0:00 [irq/120-aerdrv]
root         145  0.0  0.0      0     0 ?        S    01:10   0:00 [irq/121-aerdrv]
root         146  0.0  0.0      0     0 ?        S    01:10   0:00 [irq/122-pciehp]
root         147  0.0  0.0      0     0 ?        S    01:10   0:00 [irq/123-pciehp]
root         148  0.0  0.0      0     0 ?        S    01:10   0:00 [irq/124-aerdrv]
root         149  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/R-acpi_thermal_pm]
root         150  0.0  0.0      0     0 ?        I    01:10   0:00 [kworker/8:1-events]
root         151  0.0  0.0      0     0 ?        S    01:10   0:00 [hwrng]
root         152  0.0  0.0      0     0 ?        I    01:10   0:00 [kworker/9:1-inet_frag_wq]
root         153  0.0  0.0      0     0 ?        S    01:10   0:00 [scsi_eh_0]
root         154  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/R-scsi_tmf_0]
root         155  0.0  0.0      0     0 ?        S    01:10   0:00 [scsi_eh_1]
root         156  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/R-scsi_tmf_1]
root         157  0.0  0.0      0     0 ?        S    01:10   0:00 [scsi_eh_2]
root         158  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/R-scsi_tmf_2]
root         159  0.0  0.0      0     0 ?        S    01:10   0:00 [scsi_eh_3]
root         160  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/R-scsi_tmf_3]
root         161  0.0  0.0      0     0 ?        S    01:10   0:00 [scsi_eh_4]
root         162  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/R-scsi_tmf_4]
root         163  0.0  0.0      0     0 ?        S    01:10   0:00 [scsi_eh_5]
root         164  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/R-scsi_tmf_5]
root         165  0.0  0.0      0     0 ?        S    01:10   0:00 [scsi_eh_6]
root         166  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/R-scsi_tmf_6]
root         167  0.0  0.0      0     0 ?        S    01:10   0:00 [scsi_eh_7]
root         168  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/R-scsi_tmf_7]
root         169  0.0  0.0      0     0 ?        I    01:10   0:00 [kworker/u64:3-btrfs-endio-write]
root         172  0.0  0.0      0     0 ?        I    01:10   0:00 [kworker/10:1-events]
root         173  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/R-hfi-updates]
root         174  0.0  0.0      0     0 ?        I    01:10   0:00 [kworker/u64:6-kcryptd-253:0-1]
root         175  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/R-mld]
root         176  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/10:1H-kblockd]
root         177  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/R-ipv6_addrconf]
root         178  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/R-kstrp]
root         179  0.0  0.0      0     0 ?        I    01:10   0:00 [kworker/2:1-events]
root         180  0.0  0.0      0     0 ?        I    01:10   0:00 [kworker/6:1-events]
root         181  0.0  0.0      0     0 ?        I    01:10   0:00 [kworker/11:1-events]
root         182  0.0  0.0      0     0 ?        I    01:10   0:00 [kworker/15:1-events]
root         183  0.0  0.0      0     0 ?        I    01:10   0:00 [kworker/3:1-mm_percpu_wq]
root         185  0.0  0.0      0     0 ?        I    01:10   0:00 [kworker/u64:7-kcryptd-253:0-1]
root         188  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/u65:0-rb_allocator]
root         192  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/0:1H-kblockd]
root         193  0.0  0.0      0     0 ?        I    01:10   0:00 [kworker/13:2-events]
root         222  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/13:1H-kblockd]
root         224  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/4:1H-kblockd]
root         226  0.0  0.0      0     0 ?        S    01:10   0:00 [nv_queue]
root         227  0.0  0.0      0     0 ?        S    01:10   0:00 [nv_mem_pool_scrubber_queue]
root         228  0.0  0.0      0     0 ?        S    01:10   0:00 [nv_mem_pool_scrubber_queue]
root         229  0.0  0.0      0     0 ?        S    01:10   0:00 [nv_mem_pool_scrubber_queue]
root         230  0.0  0.0      0     0 ?        S    01:10   0:00 [nv_queue]
root         231  0.0  0.0      0     0 ?        S    01:10   0:00 [nv_open_q]
root         233  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/6:1H-kblockd]
root         236  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/15:1H-kblockd]
root         237  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/2:1H-kblockd]
root         238  0.0  0.0      0     0 ?        I    01:10   0:00 [kworker/0:2-cgroup_bpf_destroy]
root         261  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/1:1H-kblockd]
root         272  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/11:1H-kblockd]
root         273  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/9:1H-kblockd]
root         274  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/8:1H-kblockd]
root         275  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/14:1H-kblockd]
root         276  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/3:1H-kblockd]
root         277  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/7:1H-events_highpri]
root         278  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/5:1H-kblockd]
root         279  0.1  0.0      0     0 ?        S    01:10   0:00 [nvidia-modeset/kthread_q]
root         280  0.0  0.0      0     0 ?        S    01:10   0:00 [nvidia-modeset/deferred_close_kthread_q]
root         281  0.0  0.0      0     0 ?        S    01:10   0:00 [UVM global queue]
root         282  0.0  0.0      0     0 ?        S    01:10   0:00 [UVM deferred release queue]
root         283  0.0  0.0      0     0 ?        S    01:10   0:00 [UVM Tools Event Queue]
root         284  0.0  0.0      0     0 ?        S    01:10   0:00 [irq/134-nvidia]
root         285  0.0  0.0      0     0 ?        S    01:10   0:00 [nvidia]
root         286  0.0  0.0      0     0 ?        S    01:10   0:00 [nv_queue]
root         287  0.0  0.0      0     0 ?        I    01:10   0:00 [kworker/9:2-events]
root         289  0.0  0.0      0     0 ?        I    01:10   0:00 [kworker/5:1-events]
root         290  0.0  0.0      0     0 ?        I    01:10   0:00 [kworker/7:1-events]
root         314  0.0  0.0      0     0 ?        I    01:10   0:00 [kworker/2:2-events]
root         315  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/R-nvme-wq]
root         316  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/R-nvme-reset-wq]
root         317  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/R-nvme-delete-wq]
root         318  0.0  0.0      0     0 ?        I<   01:10   0:00 [kworker/R-nvme-auth-wq]
root         366  0.0  0.0      0     0 ?        I    01:10   0:00 [kworker/10:2-mm_percpu_wq]
root         573  0.0  0.0      0     0 ?        I<   01:11   0:00 [kworker/R-kdmflush/253:0]
root         574  0.0  0.0      0     0 ?        I<   01:11   0:00 [kworker/R-kcryptd_io-253:0-1]
root         575  0.0  0.0      0     0 ?        I<   01:11   0:00 [kworker/R-kcryptd-253:0-1]
root         576  0.0  0.0      0     0 ?        S    01:11   0:00 [dmcrypt_write/253:0]
root         612  0.0  0.0      0     0 ?        I<   01:11   0:00 [kworker/R-btrfs-worker]
root         613  0.0  0.0      0     0 ?        I<   01:11   0:00 [kworker/R-btrfs-delalloc]
root         614  0.0  0.0      0     0 ?        I<   01:11   0:00 [kworker/R-btrfs-flush_delalloc]
root         615  0.0  0.0      0     0 ?        I<   01:11   0:00 [kworker/R-btrfs-cache]
root         616  0.0  0.0      0     0 ?        I<   01:11   0:00 [kworker/R-btrfs-fixup]
root         617  0.0  0.0      0     0 ?        I<   01:11   0:00 [kworker/R-btrfs-endio]
root         618  0.0  0.0      0     0 ?        I<   01:11   0:00 [kworker/R-btrfs-endio-meta]
root         619  0.0  0.0      0     0 ?        I<   01:11   0:00 [kworker/R-btrfs-rmw]
root         620  0.0  0.0      0     0 ?        I<   01:11   0:00 [kworker/R-btrfs-endio-write]
root         621  0.0  0.0      0     0 ?        I<   01:11   0:00 [kworker/R-btrfs-compressed-write]
root         622  0.0  0.0      0     0 ?        I<   01:11   0:00 [kworker/R-btrfs-freespace-write]
root         623  0.0  0.0      0     0 ?        I<   01:11   0:00 [kworker/R-btrfs-delayed-meta]
root         624  0.0  0.0      0     0 ?        I<   01:11   0:00 [kworker/R-btrfs-qgroup-rescan]
root         625  0.0  0.0      0     0 ?        S    01:11   0:00 [btrfs-cleaner]
root         626  0.0  0.0      0     0 ?        S    01:11   0:00 [btrfs-transaction]
root         647  0.0  0.0      0     0 ?        I    01:11   0:00 [kworker/u64:8-btrfs-endio]
root         648  0.0  0.0      0     0 ?        I    01:11   0:00 [kworker/u64:9-events_unbound]
root         649  0.0  0.0      0     0 ?        I    01:11   0:00 [kworker/u64:10-btrfs-endio]
root         650  0.0  0.0      0     0 ?        I    01:11   0:00 [kworker/u64:11-kcryptd-253:0-1]
root         652  0.0  0.0      0     0 ?        I    01:11   0:00 [kworker/u64:13-kcryptd-253:0-1]
root         676  0.0  0.0      0     0 ?        I    01:11   0:00 [kworker/15:2-events]
root         678  0.0  0.0      0     0 ?        S    01:11   0:00 [psimon]
root         686  0.0  0.0  49512 18416 ?        Ss   01:11   0:00 /usr/lib/systemd/systemd-journald
root         700  0.0  0.0      0     0 ?        I    01:11   0:00 [kworker/14:2-events]
root         719  0.0  0.0  14976  5772 ?        Ss   01:11   0:00 /usr/lib/systemd/systemd-userdbd
root         722  0.0  0.0      0     0 ?        I    01:11   0:00 [kworker/12:2-events]
root         725  0.0  0.0      0     0 ?        I    01:11   0:00 [kworker/7:2-events]
root         727  0.0  0.0      0     0 ?        I    01:11   0:00 [kworker/4:2-events]
root         731  0.0  0.0      0     0 ?        S    01:11   0:00 [psimon]
systemd+     758  0.0  0.0  20560 13696 ?        Ss   01:11   0:00 /usr/lib/systemd/systemd-resolved
systemd+     759  0.0  0.0  89804  7580 ?        Ssl  01:11   0:00 /usr/lib/systemd/systemd-timesyncd
root         788  0.0  0.0  38644 12576 ?        Ss   01:11   0:00 /usr/lib/systemd/systemd-udevd
root         798  0.0  0.0      0     0 ?        I    01:11   0:00 [kworker/u64:14-events_power_efficient]
root         805  0.0  0.0      0     0 ?        S    01:11   0:00 [psimon]
systemd+     807  0.0  0.0  20256 11232 ?        Ss   01:11   0:00 /usr/lib/systemd/systemd-networkd
root         810  0.0  0.0      0     0 ?        I    01:11   0:00 [kworker/8:3-cgroup_free]
root         866  0.0  0.0      0     0 ?        I<   01:11   0:00 [kworker/R-cfg80211]
root         868  0.0  0.0      0     0 ?        S    01:11   0:00 [irq/171-mei_me]
root         885  0.0  0.0      0     0 ?        I    01:11   0:00 [kworker/6:2-cgroup_free]
root         897  0.0  0.0      0     0 ?        I    01:11   0:00 [kworker/3:2-events]
root         898  0.0  0.0      0     0 ?        S    01:11   0:00 [irq/172-iwlwifi:default_queue]
root         899  0.0  0.0      0     0 ?        S    01:11   0:00 [irq/173-iwlwifi:queue_1]
root         900  0.0  0.0      0     0 ?        S    01:11   0:00 [irq/174-iwlwifi:queue_2]
root         901  0.0  0.0      0     0 ?        S    01:11   0:00 [irq/175-iwlwifi:queue_3]
root         902  0.0  0.0      0     0 ?        S    01:11   0:00 [irq/176-iwlwifi:queue_4]
root         903  0.0  0.0      0     0 ?        S    01:11   0:00 [irq/177-iwlwifi:queue_5]
root         904  0.0  0.0      0     0 ?        S    01:11   0:00 [irq/178-iwlwifi:queue_6]
root         905  0.0  0.0      0     0 ?        S    01:11   0:00 [irq/179-iwlwifi:queue_7]
root         906  0.0  0.0      0     0 ?        S    01:11   0:00 [irq/180-iwlwifi:queue_8]
root         907  0.0  0.0      0     0 ?        S    01:11   0:00 [irq/181-iwlwifi:queue_9]
root         908  0.0  0.0      0     0 ?        S    01:11   0:00 [irq/182-iwlwifi:queue_10]
root         909  0.0  0.0      0     0 ?        S    01:11   0:00 [irq/183-iwlwifi:queue_11]
root         910  0.0  0.0      0     0 ?        S    01:11   0:00 [irq/184-iwlwifi:queue_12]
root         911  0.0  0.0      0     0 ?        S    01:11   0:00 [irq/185-iwlwifi:queue_13]
root         912  0.0  0.0      0     0 ?        S    01:11   0:00 [irq/186-iwlwifi:queue_14]
root         913  0.0  0.0      0     0 ?        S    01:11   0:00 [irq/187-iwlwifi:exception]
root         921  0.0  0.0      0     0 ?        I<   01:11   0:00 [kworker/R-led_workqueue]
root         923  0.0  0.0      0     0 ?        I<   01:11   0:00 [kworker/u65:1-hci0]
dbus        1005  0.0  0.0   8604  4532 ?        Ss   01:11   0:00 /usr/bin/dbus-broker-launch --scope system --audit
dbus        1007  0.0  0.0   5512  3896 ?        S    01:11   0:00 dbus-broker --log 10 --controller 9 --machine-id bceff12ff47d4cc8892140e523e4668b --max-bytes 536870912 --max-fds 4096 --max-matches 16384 --audit
avahi       1009  0.0  0.0   6704  4664 ?        Ss   01:11   0:00 avahi-daemon: running [STAGING.local]
root        1010  0.0  0.0  10388  6068 ?        Ss   01:11   0:00 /usr/lib/bluetooth/bluetoothd
root        1011  0.0  0.0  17804  3936 ?        Ss   01:11   0:00 /usr/lib/iwd/iwd
root        1012  0.0  0.0   8220  4244 ?        Ss   01:11   0:00 bash /usr/bin/limine-snapper-watcher
root        1016  0.0  0.0  16160  8408 ?        Ss   01:11   0:00 /usr/lib/systemd/systemd-logind
root        1028  0.0  0.0      0     0 ?        I    01:11   0:00 [kworker/11:2-mm_percpu_wq]
avahi       1041  0.0  0.0   6704  1588 ?        S    01:11   0:00 avahi-daemon: chroot helper
root        1073  0.0  0.0   6816  3896 ?        S    01:11   0:00 inotifywait -q -m -e create -e delete --format %e|%f /.snapshots
root        1074  0.0  0.0   7704  2112 ?        S    01:11   0:00 bash /usr/bin/limine-snapper-watcher
root        1118  0.0  0.0  21940  8752 ?        Ss   01:11   0:00 /usr/bin/cupsd -l
root        1124  0.0  0.1 2822688 53624 ?       Ssl  01:11   0:00 /usr/bin/containerd
root        1125  0.0  0.0 207732 19596 ?        Ssl  01:11   0:00 /usr/bin/cups-browsed
root        1126  0.0  0.0      0     0 ?        I    01:11   0:00 [kworker/u64:15-btrfs-endio-write]
root        1129  0.0  0.0 158504 19596 ?        Ssl  01:11   0:00 /usr/bin/sddm
root        1147  0.1  0.1 25419428 60236 tty2   Ssl+ 01:11   0:00 /usr/lib/Xorg -nolisten tcp -background none -seat seat0 vt2 -auth /run/sddm/xauth_qxdoqf -noreset -displayfd 16
root        1162  0.0  0.2 2645904 81132 ?       Ssl  01:11   0:00 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
root        1383  0.0  0.0      0     0 ?        S    01:11   0:00 [nvidia-drm/timeline-6]
root        1389  0.0  0.0  82132 20192 ?        S    01:11   0:00 /usr/lib/sddm/sddm-helper --socket /tmp/sddm-auth-9dfb89ea-36bc-4f76-9735-903bc52f1ece --id 1 --start uwsm start -e -D Hyprland hyprland.desktop --user staging --autologin
staging     1393  0.0  0.0  24776 15792 ?        Ss   01:11   0:00 /usr/lib/systemd/systemd --user
staging     1395  0.0  0.0  23104  4176 ?        S    01:11   0:00 (sd-pam)
staging     1403  0.0  0.0 182400  9096 ?        Ssl  01:11   0:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
staging     1408  0.0  0.0   8156  3932 ?        Ss   01:11   0:00 /usr/bin/dbus-broker-launch --scope user
staging     1409  0.0  0.0   4876  3272 ?        S    01:11   0:00 dbus-broker --log 11 --controller 10 --machine-id bceff12ff47d4cc8892140e523e4668b --max-bytes 100000000000000 --max-fds 25000000000000 --max-matches 5000000000
staging     1410  0.0  0.0   7572  3484 tty1     Ss+  01:11   0:00 /usr/bin/sh /usr/lib/uwsm/signal-handler.sh wayland-session-envelope@hyprland.desktop.target
staging     1428  0.0  0.0   5552  1864 ?        Ss   01:11   0:00 waitpid -e 1410
staging     1429  0.0  0.0  18508  6636 tty1     S+   01:11   0:00 systemctl --user start --wait wayland-session-envelope@hyprland.desktop.target
staging     1500  0.0  0.0  15992  4592 ?        Ssl  01:11   0:00 /usr/bin/start-hyprland
staging     1505  0.4  0.5 858184 165204 ?       Sl   01:11   0:02 Hyprland --watchdog-fd 4
root        1527  0.0  0.0      0     0 ?        S    01:11   0:00 [nvidia-drm/timeline-8]
staging     1533  0.0  0.0 163696  5696 ?        Ssl  01:11   0:00 /usr/lib/dconf-service
staging     1538  0.0  0.0  84060  6588 ?        Sl   01:11   0:00 /usr/bin/hypridle
staging     1539  0.0  0.0  23276  8712 ?        S    01:11   0:00 /usr/bin/mako
staging     1540  0.0  0.1 1340148 54220 ?       Sl   01:11   0:00 /usr/bin/waybar
staging     1542  0.0  0.0 353840 30636 ?        Sl   01:11   0:00 /usr/bin/fcitx5 --disable notificationitem
